id,NameLatNom,rus,NameLatGen,Type,VrdG,VsdG,GttsPerMl,Density,E_Factor,KUO,KV,Solubility,Storage,InteractionNotes,ointment_entry_type,ointment_solvent_inn_key,ointment_ratio_solute_to_solvent,ointment_note,PedsVrdG,PedsRdG,VrdChild_0_1,VrdChild_1_6,VrdChild_7_14,NeedsTrituration,ByComposition,PharmActivity,ByNature,PhysicalState,IsListA_Poison,NaturalGroup,IsNarcotic,List_A,List_B,HerbalPart,PrepMethod,HerbalRatio,WaterTempC,HeatBathMin,StandMin,CoolMin,Strain,PressMarc,BringToVolume,ShelfLifeHours,StoragePrepared,NotesHerbal,IsHerbalMix,MixComponents,MixUse,ExtractionSolvent,TinctureRatio,MacerationDays,ShakeDaily,Filter,StorageTincture,ExtractType,ExtractSolvent,ExtractRatio,ExtractStd,IsOintmentFitocomp,OintmentBase,OintmentStrength,UseRoute,Process,BufferType,BufferPH,BufferMolarity,BufferComponents,SolventType,Sterile,NotesSolvent,BaseType,NotesBase,dissolution_type
11,Adonisidum,Адонисиды,Adonisidi,Act,1.18,3.53,34.0,1.0,,,,Змішується з водою та спиртом у всіх співвідношеннях,"Список Б. У прохолодному (8–15 °С), захищеному від світла місці.","Несумісний з лугами, кислотами, танінами та солями важких металів",,,,0.06,0.18,0.06,0.3,0.60,false,NO,Кардіотонічний засіб (серцевий глікозид),Organic,Прозора жовтувата рідина з характерним запахом,Жидкие,Серцеві глікозиди,false,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Adrenalinum,Адреналин,Adrenalini,Act,0.001,0.001,20,1.0,1.0,1.0,,1:100,DarkGlass,IncompatibleWithAlkalies,0.001,0.001,0.0001,0.0005,0.001,YES,Лекарственное вещество,Симпатомиметик,Природные,Твердые,YES,,YES,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Aesculin,Эскулин,Aesculini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Aethacridini lactas,Этакридинлактаза,Aethacridini lactatis,Act,0.05,0.15,,,,,,,"Розчинний у воді (1:50), важко в спирті",У добре закупореній тарі в захищеному від світла місці,"Несумісний з лугами, хлоридами, сульфатами",suspension,oleum vaselini,0.5,Барвна речовина! Розтирати з допоміжною рідиною за правилом Дерягіна,0.05,0.15,0.005,0.01,0.02,false,false,Антисептичний засіб,Твердые,Жовтий кристалічний порошок,false,Synthetic,NO,NO,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,",
15,Aethylii chloridum,Этилхлорид,Aethylii chloridi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Aethylmorphini hydrochloridum,Этилморфини гидрохлорид,Aethylmorphini hydrochloridi,Act,0.03,0.1,,,,,,,темне місце,,,,,,0.015,0.05,0.00375,0.0075,0.015,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Allantoin,Аллантоин,Allantoini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Allopurinol,Аллопуринол,Allopurinoli,Act,0.3,0.6,,,,,,,,,,,,,0.15,0.3,0.0375,0.075,0.15,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Aluminii hydroxyde,Гидроксид алюминия,Aluminii hydroxydi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Aluminum acetate,Ацетат алюминия,Aluminii acetatis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Aluminum sulfate,Сульфат алюминия,Aluminii sulfatis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Amidopyrine,амидопирин,Amidopyrini,Act,0.5,1.5,,,,,,,сухе місце,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Amidopyrinum,Амидопирин,Amidopyrini,Act,0.5,1.5,,,,,,,сухе місце,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Aminophylline,Эуфиллин (аминофиллин),Aminophyllini,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ammonia solution,Раствор аммиака,Ammoniae solutionis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ammonium bromide,Бромид аммония,Ammonii bromidi,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Ammonium carbonate,Карбонат аммония,Ammonii carbonatis,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Ammonium chloride,Хлорид аммония,Ammonii chloridi,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Amobarbital,Амобарбитал,Amobarbitali,Act,0.3,0.6,,,,,,,,,,,,,0.15,0.3,0.0375,0.075,0.15,NO,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amoniaca solutio,Раствор аммиака,Ammoniae solutionis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ampicillin,Ампициллин,Ampicillini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amyl nitrite,Амилнитрит,Amylii nitritis,Act,0.2,0.5,,,,,,,темне місце,,,,,,0.1,0.25,0.025,0.05,0.1,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amylium nitris,Амилиум нитрис,Amylii nitritis,Act,0.2,0.5,,,,,,,,,,,,,0.1,0.25,0.025,0.05,0.1,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Anaesthesinum,Анестезин,Anaesthesini,Act,0.5,1.5,,0.81,0.75,,,,Малорозчинний,,,suspension,oleum vaselini,",К-т заміщення 0.81",0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Analginum,Анальгин,Analgini,Act,1.0,3.0,,0.75,0.68,0.7,,Легко розчинний у воді,"Список Б. У щільно закупореній тарі, у захищеному від світла місці",,emulsion,aqua purificata,,Список Б,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Anesthesinum,Анестетик,Anesthesini,Act,,,,,0.81,,,,,К-т заміщення для анестезину,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Anisi oleum,Анисовое масло,Anisi olei,Act,0.05,0.2,,,,,,,,,,,,,0.025,0.1,0.00625,0.0125,0.025,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Antipyrine,Антипирин,Antipyrini,Act,1.0,3.0,,,,,,,сухе місце,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Apomorphine,Апоморфин,Apomorphini,Act,0.05,0.15,,,,,,,,,,,,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Apomorphine hydrochloride,Апоморфина гидрохлорид,Apomorphini hydrochloridi,Act,0.05,0.15,,,,,,,темне місце,,,,,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Aqua Amygdalarum amararum,Вода горького миндаля,Aquae Amygdalarum amararum,Act,2.0,6.0,20,1.0,1.0,1.0,,1:1,LightProtected,ToxicComponent,,,,,,,,,NO,Лекарственное вещество,Успокаивающее,Природные,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oral,,,,,,Bitter almond water,NO,Contains 0.1% hydrocyanic acid.,,,,
42,Arbutin,Арбутин,Arbutini,Act,,,,,,,,,темне місце,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Argenti nitras,Нитрат Аргенти,Argenti nitratis,Act,0.03,0.1,,,,,,,,,,,,,0.015,0.05,0.00375,0.0075,0.015,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,YES,,NO,YES,NO,,Instruction_ID=Freshly_Distilled_Water;Filter_Type=Glass_Filter_Only;Light_Sensitive=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Argentum colloidale,Коллоидный аргентум,Argenti colloidalis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Argentum proteinatum,Белковое серебро,Argenti proteinati,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Arsenic trioxide,Триоксид мышьяка,Arsenii trioxydi,Act,0.005,0.015,,,,,,,,,,,,,0.0025,0.0075,0.000625,0.00125,0.0025,YES,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Ascorbic acid,Аскорбиновая кислота,Acidi ascorbici,Act,0.5,1.5,,,,,,,сухе місце,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Asparaginum,Аспарагин,Asparagini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Aspirin,Аспирин,Acidi acetylsalicylici,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Atropine,Атропин,Atropini,Act,0.001,0.003,,,,,,,,,,,,,0.0005,0.0015,0.000125,0.00025,0.0005,YES,Лекарственное вещество,Ядовитые,Природные,Твердые,YES,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Atropine sulfate,Атропина сульфат,Atropini sulfatis,Act,0.001,0.003,,0.9,0.1,,,Легко розчинний,темне місце,,emulsion,aqua purificata,,Список А,0.0005,0.0015,0.000125,0.00025,0.0005,YES,Лекарственное вещество,Ядовитые,Природные,Твердые,YES,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Azathioprine,Азатиоприн,Azathioprini,Act,0.1,0.2,,,,,,,,,,,,,0.05,0.1,0.0125,0.025,0.05,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Barbital,Барбитал,Barbitali,Act,0.5,1.0,,,,,,,,,,,,,0.25,0.5,0.0625,0.125,0.25,NO,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Barium chloride,Хлорид бария,Barii chloridi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Barium sulfate,Сульфат бария,Barii sulfatis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Belladonna,Белладонна,Belladonnae,Act,0.1,0.3,,,,,,,,,,,,,0.05,0.15,0.0125,0.025,0.05,NO,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Belladonnae extractum,Экстракт красавки,Belladonnae extracti,Act,0.05,0.15,,,,,,,сухе місце,,,,,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Belladonnae tinctura,Настойка Белладонны,Belladonnae tincturae,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Ядовитые,Синтетические,Жидкие,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Benzaldehyde,Бензальдегид,Benzaldehydehydi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Benzocaine,Бензокаин,Anaesthesini,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Benzyl benzoate,Бензилбензоат,Benzylis benzoatis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Benzylpenicillin,Бензилпенициллин,Benzylpenicillini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Benzylpenicillinum,Бензилпенициллин,Benzylpenicillini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bismuth carbonate,Карбонат висмута,Bismuthi subcarbonatis,Act,2.0,6.0,,,,,,,,,,,,,1.0,3.0,0.25,0.5,1.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Bismuth subgallate,Субгаллат висмута,Bismuthi subgallatis,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Bismuth subnitrate,Субнитрат висмута,Bismuthi subnitratis,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Bismuthi subcarbonas,Субуглероды висмута,Bismuthi subcarbonatis,Act,2.0,6.0,,,,,,,,,,,,,1.0,3.0,0.25,0.5,1.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bismuthi subnitras,Висмут субнитра,Bismuthi subnitratis,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Bitter almond water,Горькая миндальная вода,Aquae Amygdalarum amararum,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Borax,Бура,Boracis,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Boric acid,Кислота борная,Acidi borici,Act,2.0,6.0,,0.5,,0.24,45.0,"Розчинний у воді, легко розчинний у киплячій воді",У добре закупореній тарі,Несумісна з лугами,suspension,oleum vaselini,,Несумісна з лугами,1.0,3.0,0.25,0.5,1.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Bromazepam,Бромазепам,Bromazepami,Act,0.006,0.018,,,,,,,,,,,,,0.003,0.009,0.00075,0.0015,0.003,YES,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Bromisoval,Бромированный,Bromisovali,Act,0.5,1.0,,,,,,,,,,,,,0.25,0.5,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Bromisovalum,бромизовал,Bromisovali,Act,0.5,1.0,,,,,,,сухе місце,,,,,,0.25,0.5,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Caffeine,Кофеин,Coffeini,Act,0.3,1.0,,,,,,,темне місце,,,,,,0.15,0.5,0.0375,0.075,0.15,NO,Лекарственное вещество,Несильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Caffeine citrate,Кофеин цитрат,Coffeini citratis,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
