id,NameLatNom,rus,NameLatGen,Type,VrdG,VsdG,GttsPerMl,Density,E_Factor,KUO,KV,Solubility,Storage,InteractionNotes,ointment_entry_type,ointment_solvent_inn_key,ointment_ratio_solute_to_solvent,ointment_note,PedsVrdG,PedsRdG,VrdChild_0_1,VrdChild_1_6,VrdChild_7_14,NeedsTrituration,ByComposition,PharmActivity,ByNature,PhysicalState,IsListA_Poison,NaturalGroup,IsNarcotic,List_A,List_B,HerbalPart,PrepMethod,HerbalRatio,WaterTempC,HeatBathMin,StandMin,CoolMin,Strain,PressMarc,BringToVolume,ShelfLifeHours,StoragePrepared,NotesHerbal,IsHerbalMix,MixComponents,MixUse,ExtractionSolvent,TinctureRatio,MacerationDays,ShakeDaily,Filter,StorageTincture,ExtractType,ExtractSolvent,ExtractRatio,ExtractStd,IsOintmentFitocomp,OintmentBase,OintmentStrength,UseRoute,Process,BufferType,BufferPH,BufferMolarity,BufferComponents,SolventType,Sterile,NotesSolvent,BaseType,NotesBase,dissolution_type
11,Acidum tannicum,Дубильная кислота,Acidi tannici,Act,0.5,1.5,,,,,,,,emulsion,aqua purificata,1.0,Розчинити у воді/гліцерині; вводити через Lanolinum; воду <0.2 г не враховувати,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Aconite tincture,Настойка аконита,Aconiti tincturae,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Ядовитые,Синтетические,Жидкие,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Acriflavine,Акрифлавин,Acriflavini,Act,0.1,0.3,,,,,,,,,,,,,0.05,0.15,0.0125,0.025,0.05,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Adeps suillus,Жирная свинья,Adipis suilli,Base,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Мягкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Adipic acid,Адипиновая кислота,Acidi adipici,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Adonisidum,Адонисиды,Adonisidi,Act,1.18,3.53,34.0,1.0,,,,Змішується з водою та спиртом у всіх співвідношеннях,"Список Б. У прохолодному (8–15 °С), захищеному від світла місці.","Несумісний з лугами, кислотами, танінами та солями важких металів",,,,0.06,0.18,0.06,0.3,0.60,false,false,Кардіотонічний засіб (серцевий глікозид),Organic,Прозора жовтувата рідина з характерним запахом,Жидкие,Серцеві глікозиди,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Adrenalinum,Адреналин,Adrenalini,Act,0.001,0.001,20,1.0,1.0,1.0,,1:100,DarkGlass,IncompatibleWithAlkalies,0.001,0.001,0.0001,0.0005,0.001,YES,Лекарственное вещество,Симпатомиметик,Природные,Твердые,YES,,YES,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Aesculin,Эскулин,Aesculini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Aethacridini lactas,Этакридинлактаза,Aethacridini lactatis,Act,0.05,0.15,,,,,,,"Розчинний у воді (1:50), важко в спирті",У добре закупореній тарі в захищеному від світла місці,"Несумісний з лугами, хлоридами, сульфатами",suspension,oleum vaselini,0.5,Барвна речовина! Розтирати з допоміжною рідиною за правилом Дерягіна,0.05,0.15,0.005,0.01,0.02,false,false,Антисептичний засіб,Твердые,Жовтий кристалічний порошок,false,Synthetic,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,",
20,Aethylii chloridum,Этилхлорид,Aethylii chloridi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Aethylmorphini hydrochloridum,Этилморфини гидрохлорид,Aethylmorphini hydrochloridi,Act,0.03,0.1,,,,,,,темне місце,,,,,,0.015,0.05,0.00375,0.0075,0.015,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Agar-agar,Агар-агар,Agar-agar,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Alginate,Альгинат,Alginatis,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Allantoin,Аллантоин,Allantoini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Allopurinol,Аллопуринол,Allopurinoli,Act,0.3,0.6,,,,,,,,,,,,,0.15,0.3,0.0375,0.075,0.15,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Radix Althaeae,Корень Алтеи,Radicis Althaeae,Act,,,,,,,,1:20,"Store dry, protected from light",,,,,,,,,,,NO,Лекарственное вещество,Обволакивающее,Природные,Твердые,NO,Растительное сырье,NO,NO,NO,Radix,Maceration,1:20,20,,480,,YES,NO,YES,48.0,"2-8°C, tightly closed",Cold maceration (room temp) for 30 min + 1.3 consumption factor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Aluminii hydroxyde,Гидроксид алюминия,Aluminii hydroxydi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Aluminum acetate,Ацетат алюминия,Aluminii acetatis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Aluminum sulfate,Сульфат алюминия,Aluminii sulfatis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amidopyrine,амидопирин,Amidopyrini,Act,0.5,1.5,,,,,,,сухе місце,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amidopyrinum,Амидопирин,Amidopyrini,Act,0.5,1.5,,,,,,,сухе місце,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Aminophylline,Эуфиллин (аминофиллин),Aminophyllini,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Ammonia solution,Раствор аммиака,Ammoniae solutionis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ammonium bromide,Бромид аммония,Ammonii bromidi,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ammonium carbonate,Карбонат аммония,Ammonii carbonatis,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Ammonium chloride,Хлорид аммония,Ammonii chloridi,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amobarbital,Амобарбитал,Amobarbitali,Act,0.3,0.6,,,,,,,,,,,,,0.15,0.3,0.0375,0.075,0.15,NO,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amoniaca solutio,Раствор аммиака,Ammoniae solutionis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ampicillin,Ампициллин,Ampicillini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amyl alcohol,Амиловый спирт,Alcoholis amylici,Solv,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amyl nitrite,Амилнитрит,Amylii nitritis,Act,0.2,0.5,,,,,,,темне місце,,,,,,0.1,0.25,0.025,0.05,0.1,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amylium nitris,Амилиум нитрис,Amylii nitritis,Act,0.2,0.5,,,,,,,,,,,,,0.1,0.25,0.025,0.05,0.1,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amylum Solani,Амилум Солани,Amyli Solani,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Anaesthesinum,Анестезин,Anaesthesini,Act,0.5,1.5,,0.81,0.75,,,,Малорозчинний,,,suspension,oleum vaselini,",К-т заміщення 0.81",0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Analginum,Анальгин,Analgini,Act,1.0,3.0,,0.75,0.68,0.7,,Легко розчинний у воді,"Список Б. У щільно закупореній тарі, у захищеному від світла місці",,emulsion,aqua purificata,,Список Б,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Anesthesinum,Анестетик,Anesthesini,Act,,,,,0.81,,,,,К-т заміщення для анестезину,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Anise water,Анисовая вода,Aquae Anisi,Solv,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Anisi fructus,Анисовые фрукты,Anisi fructus,HerbalRaw,,,,,,,,Extracted with water (infusion/decoction),"Store dry, protected from moisture",,,,,,,,,,,NO,,,Природные,Твердые,,Растительное сырье,NO,NO,NO,Fructus,Infusion,1:10,90-100,15.0,45,,YES,YES,YES,48.0,"2-8°C, tightly closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Anisi oleum,Анисовое масло,Anisi olei,Act,0.05,0.2,,,,,,,,,,,,,0.025,0.1,0.00625,0.0125,0.025,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Antipyrine,Антипирин,Antipyrini,Act,1.0,3.0,,,,,,,сухе місце,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Apomorphine,Апоморфин,Apomorphini,Act,0.05,0.15,,,,,,,,,,,,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Apomorphine hydrochloride,Апоморфина гидрохлорид,Apomorphini hydrochloridi,Act,0.05,0.15,,,,,,,темне місце,,,,,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Apricot kernel oil,Масло абрикосовых косточек,Olei Armeniacae,Base,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Aqua Menthae,Аква Мента,Aquae Menthae,Solv,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Aqua destillata,Аква дистиллята,Aquae destillatae,Solv,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Aqua foeniculi,Фенхелевая вода,Aquae foeniculi,Solv,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Aqua pro injectionibus,Вода для инъекций,Aqua pro injectionibus,Solvent,,,,,,,,,"15-25°C, tightly closed",,,,,,,,,,,NO,,,,Жидкие,,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parenteral / Ophthalmic,,,,,,Water for injection,YES,"Sterile, pyrogen-free water for injections.",,,
58,Aqua purificata,Вода очищенная,Aqua purificata,Solvent,,,,1.0,1.0,1.0,,1:1,"15-25°C, tightly closed",,,,,,,,,,,NO,Вспомогательное вещество,,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oral / Topical,,,,,,Water purified,NO,Purified water according to pharmacopeia.,,,
59,Arachis oil,Арахисовое масло,Olei Arachidis,Base,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Arbutin,Арбутин,Arbutini,Act,,,,,,,,,темне місце,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Argenti nitras,Нитрат Аргенти,Argenti nitratis,Act,0.03,0.1,,,,,,,,,,,,,0.015,0.05,0.00375,0.0075,0.015,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,YES,,NO,YES,NO,,Instruction_ID=Freshly_Distilled_Water;Filter_Type=Glass_Filter_Only;Light_Sensitive=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Argentum colloidale,Коллоидный аргентум,Argenti colloidalis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Argentum proteinatum,Белковое серебро,Argenti proteinati,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Arnicae flores,Цветы арники,Arnicae flores,HerbalRaw,,,,,,,,Extracted with water (infusion/decoction),"Store dry, protected from moisture",,,,,,,,,,,NO,,,Природные,Твердые,,Растительное сырье,NO,NO,NO,Flores,Infusion,1:10,90-100,15.0,45,,YES,YES,YES,48.0,"2-8°C, tightly closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Arsenic trioxide,Триоксид мышьяка,Arsenii trioxydi,Act,0.005,0.015,,,,,,,,,,,,,0.0025,0.0075,0.000625,0.00125,0.0025,YES,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Ascorbic acid,Аскорбиновая кислота,Acidi ascorbici,Act,0.5,1.5,,,,,,,сухе місце,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Asparaginum,Аспарагин,Asparagini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Aspirin,Аспирин,Acidi acetylsalicylici,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Atropine,Атропин,Atropini,Act,0.001,0.003,,,,,,,,,,,,,0.0005,0.0015,0.000125,0.00025,0.0005,YES,Лекарственное вещество,Ядовитые,Природные,Твердые,YES,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Atropine sulfate,Атропина сульфат,Atropini sulfatis,Act,0.001,0.003,,0.9,0.1,,,Легко розчинний,темне місце,,emulsion,aqua purificata,,Список А,0.0005,0.0015,0.000125,0.00025,0.0005,YES,Лекарственное вещество,Ядовитые,Природные,Твердые,YES,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Azathioprine,Азатиоприн,Azathioprini,Act,0.1,0.2,,,,,,,,,,,,,0.05,0.1,0.0125,0.025,0.05,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Barbital,Барбитал,Barbitali,Act,0.5,1.0,,,,,,,,,,,,,0.25,0.5,0.0625,0.125,0.25,NO,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Barium chloride,Хлорид бария,Barii chloridi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Barium sulfate,Сульфат бария,Barii sulfatis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Belladonna,Белладонна,Belladonnae,Act,0.1,0.3,,,,,,,,,,,,,0.05,0.15,0.0125,0.025,0.05,NO,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Belladonnae extractum,Экстракт красавки,Belladonnae extracti,Act,0.05,0.15,,,,,,,сухе місце,,,,,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Belladonnae tinctura,Настойка Белладонны,Belladonnae tincturae,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Ядовитые,Синтетические,Жидкие,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Benzaldehyde,Бензальдегид,Benzaldehydehydi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Benzocaine,Бензокаин,Anaesthesini,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Benzoic acid,Кислота бензойная,Acidi benzoici,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
