NameLatNom,NameLatGen,Type,VrdG,VsdG,GttsPerMl,Density,E_Factor,KUO,KV,Solubility,Storage,InteractionNotes,ointment_entry_type,ointment_solvent_inn_key,ointment_ratio_solute_to_solvent,ointment_note,PedsVrdG,PedsRdG,VrdChild_0_1,VrdChild_1_6,VrdChild_7_14,NeedsTrituration,ByComposition,PharmActivity,ByNature,PhysicalState,IsListA_Poison,NaturalGroup,IsNarcotic,List_A,List_B,HerbalPart,PrepMethod,HerbalRatio,WaterTempC,HeatBathMin,StandMin,CoolMin,Strain,PressMarc,BringToVolume,ShelfLifeHours,StoragePrepared,NotesHerbal,IsHerbalMix,MixComponents,MixUse,ExtractionSolvent,TinctureRatio,MacerationDays,ShakeDaily,Filter,StorageTincture,ExtractType,ExtractSolvent,ExtractRatio,ExtractStd,IsOintmentFitocomp,OintmentBase,OintmentStrength,UseRoute,Process,BufferType,BufferPH,BufferMolarity,BufferComponents,SolventType,Sterile,NotesSolvent,BaseType,NotesBase,dissolution_type
Acidum lacticum,Acidi lactici,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidum nicotinicum,Acidi nicotinici,Act,0.1,0.5,,,0.25,0.7,,Погано розчинний у воді,,,emulsion,aqua purificata,,Вітамін РР,0.05,0.25,0.0125,0.025,0.05,NO,Лекарственное вещество,Ядовитые,Природные,Твердые,YES,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidum salicylicum,Acidi salicylici,Act,1.0,2.0,,,0.2,,,Малорозчинна у воді,,,suspension,oleum vaselini,,Розтирати з 0.5 ч. олії,0.5,1.0,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidum tannicum,Acidi tannici,Act,0.5,1.5,,,,,,,,emulsion,aqua purificata,1.0,Розчинити у воді/гліцерині; вводити через Lanolinum; воду <0.2 г не враховувати,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconite tincture,Aconiti tincturae,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acriflavine,Acriflavini,Act,0.1,0.3,,,,,,,,,,,,,0.05,0.15,0.0125,0.025,0.05,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adeps suillus,Adipis suilli,Base,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Мягкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adipic acid,Acidi adipici,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenaline,Adrenalini,Act,0.005,0.015,,,,,,,,,,,,,0.0025,0.0075,0.000625,0.00125,0.0025,YES,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenalinum,Adrenalini,Act,0.005,0.015,,,,,,,,,,,,,0.0025,0.0075,0.000625,0.00125,0.0025,YES,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aesculin,Aesculini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aethylii chloridum,Aethylii chloridi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aethylmorphini hydrochloridum,Aethylmorphini hydrochloridi,Act,0.03,0.1,,,,,,,,,,,,,0.015,0.05,0.00375,0.0075,0.015,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agar,Agaris,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agar-agar,Agar-agar,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alginate,Alginatis,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allantoin,Allantoini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allopurinol,Allopurinoli,Act,0.3,0.6,,,,,,,,,,,,,0.15,0.3,0.0375,0.075,0.15,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Althaeae radicis,Althaeae radicis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminii hydroxyde,Aluminii hydroxydi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminum acetate,Aluminii acetatis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminum sulfate,Aluminii sulfatis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amidopyrine,Amidopyrini,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amidopyrinum,Amidopyrini,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aminophylline,Aminophyllini,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Ammonia solution,Ammoniae solutionis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonium bromide,Ammonii bromidi,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonium carbonate,Ammonii carbonatis,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonium chloride,Ammonii chloridi,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amobarbital,Amobarbitali,Act,0.3,0.6,,,,,,,,,,,,,0.15,0.3,0.0375,0.075,0.15,NO,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amoniaca solutio,Ammoniae solutionis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampicillin,Ampicillini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amyl alcohol,Alcoholis amylici,Solv,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amyl nitrite,Amylii nitritis,Act,0.2,0.5,,,,,,,,,,,,,0.1,0.25,0.025,0.05,0.1,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amylium nitris,Amylii nitritis,Act,0.2,0.5,,,,,,,,,,,,,0.1,0.25,0.025,0.05,0.1,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amylum Solani,Amyli Solani,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaesthesinum,Anaesthesini,Act,0.5,1.5,,0.81,0.75,,,,Малорозчинний,,,suspension,oleum vaselini,",К-т заміщення 0.81",0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analginum,Analgini,Act,1.0,3.0,,0.75,0.68,0.7,,Легко розчинний у воді,"Список Б. У щільно закупореній тарі, у захищеному від світла місці",,emulsion,aqua purificata,,Список Б,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anesthesinum,Anesthesini,Act,,,,,0.81,,,,,К-т заміщення для анестезину,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anise water,Aquae Anisi,Solv,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anisi oleum,Anisi olei,Act,0.05,0.2,,,,,,,,,,,,,0.025,0.1,0.00625,0.0125,0.025,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Мягкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antipyrine,Antipyrini,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apomorphine,Apomorphini,Act,0.05,0.15,,,,,,,,,,,,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apomorphine hydrochloride,Apomorphini hydrochloridi,Act,0.05,0.15,,,,,,,,,,,,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apomorphini hydrochloridum,Apomorphini hydrochloridi,Act,0.05,0.15,,,,,,,,,,,,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricot kernel oil,Olei Armeniacae,Base,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Мягкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua destillata,Aquae destillatae,Solv,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua foeniculi,Aquae foeniculi,Solv,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Menthae,Aquae Menthae,Solv,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arachis oil,Olei Arachidis,Base,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Мягкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbutin,Arbutini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argenti nitras,Argenti nitratis,Act,0.03,0.1,,,,,,,,,,,,,0.015,0.05,0.00375,0.0075,0.015,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentum colloidale,Argenti colloidalis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentum proteinatum,Argenti proteinati,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenic trioxide,Arsenii trioxydi,Act,0.005,0.015,,,,,,,,,,,,,0.0025,0.0075,0.000625,0.00125,0.0025,YES,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascorbic acid,Acidi ascorbici,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asparaginum,Asparagini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspirin,Acidi acetylsalicylici,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Мягкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atropine,Atropini,Act,0.001,0.003,,,,,,,,,,,,,0.0005,0.0015,0.000125,0.00025,0.0005,YES,Лекарственное вещество,Ядовитые,Природные,Твердые,YES,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atropine sulfate,Atropini sulfatis,Act,0.001,0.003,,0.9,0.1,,,Легко розчинний,,,emulsion,aqua purificata,,Список А,0.0005,0.0015,0.000125,0.00025,0.0005,YES,Лекарственное вещество,Ядовитые,Природные,Твердые,YES,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atropini sulfas,Atropini sulfatis,Act,0.001,0.003,,0.9,0.1,,,Легко розчинний,,,emulsion,aqua purificata,,Список А,0.0005,0.0015,0.000125,0.00025,0.0005,YES,Лекарственное вещество,Ядовитые,Природные,Твердые,YES,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azathioprine,Azathioprini,Act,0.1,0.2,,,,,,,,,,,,,0.05,0.1,0.0125,0.025,0.05,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbital,Barbitali,Act,0.5,1.0,,,,,,,,,,,,,0.25,0.5,0.0625,0.125,0.25,NO,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbitalum,Barbitali,Act,0.5,1.0,,,,,,,,,,,,,0.25,0.5,0.0625,0.125,0.25,NO,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barium chloride,Barii chloridi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barium sulfate,Barii sulfatis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belladonna,Belladonnae,Act,0.1,0.3,,,,,,,,,,,,,0.05,0.15,0.0125,0.025,0.05,NO,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belladonnae extractum,Belladonnae extracti,Act,0.05,0.15,,,,,,,,,,,,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belladonnae tinctura,Belladonnae tincturae,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzaldehyde,Benzaldehydehydi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzocaine,Anaesthesini,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzoic acid,Acidi benzoici,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzyl alcohol,Alcoholis benzylici,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzyl benzoate,Benzylis benzoatis,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzylpenicillin,Benzylpenicillini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzylpenicillinum,Benzylpenicillini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bismuth carbonate,Bismuthi subcarbonatis,Act,2.0,6.0,,,,,,,,,,,,,1.0,3.0,0.25,0.5,1.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bismuth subgallate,Bismuthi subgallatis,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bismuth subnitrate,Bismuthi subnitratis,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bismuthi subcarbonas,Bismuthi subcarbonatis,Act,2.0,6.0,,,,,,,,,,,,,1.0,3.0,0.25,0.5,1.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bismuthi subnitras,Bismuthi subnitratis,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
